,precision,recall,f1-score,support
0,0.8985507246376812,0.9538461538461539,0.9253731343283582,65.0
1,0.9722222222222222,0.8974358974358975,0.9333333333333333,39.0
2,0.8857142857142857,0.8857142857142857,0.8857142857142857,35.0
3,0.9824561403508771,0.9655172413793104,0.9739130434782608,58.0
4,0.9310344827586207,0.84375,0.8852459016393444,64.0
5,0.8909090909090909,0.9245283018867925,0.9074074074074073,53.0
6,0.9047619047619048,1.0,0.9500000000000001,19.0
7,0.8888888888888888,1.0,0.9411764705882353,8.0
8,0.9117647058823529,0.9117647058823529,0.9117647058823528,68.0
9,0.9142857142857143,0.9411764705882353,0.9275362318840579,34.0
10,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
accuracy,0.9219088937093276,0.9219088937093276,0.9219088937093276,0.9219088937093276
macro avg,0.9204575095323713,0.9334706819252248,0.9259917235181891,461.0
weighted avg,0.9229861392852535,0.9219088937093276,0.9216923735343967,461.0
