,precision,recall,f1-score,support
0,0.9019607843137255,0.9787234042553191,0.9387755102040817,47.0
1,0.6666666666666666,1.0,0.8,2.0
2,0.9375,0.9090909090909091,0.923076923076923,33.0
3,0.9166666666666666,0.8461538461538461,0.8799999999999999,13.0
4,0.9318181818181818,0.9318181818181818,0.9318181818181818,44.0
5,0.967741935483871,0.9375,0.9523809523809523,32.0
6,1.0,1.0,1.0,13.0
7,0.8333333333333334,1.0,0.9090909090909091,5.0
8,0.9230769230769231,0.8571428571428571,0.888888888888889,28.0
9,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
10,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
accuracy,0.926530612244898,0.926530612244898,0.926530612244898,0.926530612244898
macro avg,0.9027648039097929,0.9318338898367913,0.9130600011522536,245.0
weighted avg,0.9285256764882486,0.926530612244898,0.9264603967907477,245.0
