,precision,recall,f1-score,support
0,1.0,0.9787234042553191,0.989247311827957,47.0
1,0.6666666666666666,1.0,0.8,2.0
2,0.9166666666666666,1.0,0.9565217391304348,33.0
3,0.9166666666666666,0.8461538461538461,0.8799999999999999,13.0
4,0.9761904761904762,0.9318181818181818,0.9534883720930233,44.0
5,0.967741935483871,0.9375,0.9523809523809523,32.0
6,1.0,1.0,1.0,13.0
7,0.8333333333333334,1.0,0.9090909090909091,5.0
8,0.9285714285714286,0.9285714285714286,0.9285714285714286,28.0
9,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
10,0.9285714285714286,1.0,0.962962962962963,13.0
accuracy,0.9510204081632653,0.9510204081632653,0.9510204081632653,0.9510204081632653
macro avg,0.9148163664292697,0.953584866133222,0.9298923091086909,245.0
weighted avg,0.9534154675695163,0.9510204081632653,0.9511908931491585,245.0
