,precision,recall,f1-score,support
0,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
1,0.9705882352941176,0.8918918918918919,0.9295774647887325,37.0
2,0.3333333333333333,0.5,0.4,2.0
3,0.9555555555555556,0.9555555555555556,0.9555555555555556,45.0
4,0.875,0.7,0.7777777777777777,20.0
5,0.8636363636363636,0.9047619047619048,0.8837209302325582,21.0
6,0.75,1.0,0.8571428571428571,6.0
7,1.0,1.0,1.0,3.0
8,0.9024390243902439,0.925,0.9135802469135802,40.0
9,0.9047619047619048,1.0,0.9500000000000001,19.0
10,1.0,1.0,1.0,5.0
accuracy,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074
macro avg,0.8585639368964008,0.8878271128271128,0.8687494292090864,216.0
weighted avg,0.9120501489583269,0.9074074074074074,0.9076117051251054,216.0
