,precision,recall,f1-score,support
0,0.9183673469387755,0.9574468085106383,0.9375000000000001,47.0
1,0.6666666666666666,1.0,0.8,2.0
2,0.9666666666666667,0.8787878787878788,0.9206349206349207,33.0
3,0.9166666666666666,0.8461538461538461,0.8799999999999999,13.0
4,0.9285714285714286,0.8863636363636364,0.9069767441860465,44.0
5,0.967741935483871,0.9375,0.9523809523809523,32.0
6,0.8666666666666667,1.0,0.9285714285714286,13.0
7,0.8333333333333334,1.0,0.9090909090909091,5.0
8,0.8275862068965517,0.8571428571428571,0.8421052631578947,28.0
9,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
10,0.8571428571428571,0.9230769230769231,0.888888888888889,13.0
accuracy,0.9102040816326531,0.9102040816326531,0.9102040816326531,0.9102040816326531
macro avg,0.8798164730549921,0.9230126015184044,0.8966091664589974,245.0
weighted avg,0.9135319420269981,0.9102040816326531,0.9104746183847248,245.0
