,precision,recall,f1-score,support
0,0.9772727272727273,0.9148936170212766,0.945054945054945,47.0
1,0.5,1.0,0.6666666666666666,2.0
2,0.9411764705882353,0.9696969696969697,0.955223880597015,33.0
3,0.7857142857142857,0.8461538461538461,0.8148148148148148,13.0
4,0.9285714285714286,0.8863636363636364,0.9069767441860465,44.0
5,0.967741935483871,0.9375,0.9523809523809523,32.0
6,0.9285714285714286,1.0,0.962962962962963,13.0
7,0.8333333333333334,1.0,0.9090909090909091,5.0
8,0.8571428571428571,0.8571428571428571,0.8571428571428571,28.0
9,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
10,0.8571428571428571,0.9230769230769231,0.888888888888889,13.0
accuracy,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143
macro avg,0.8641126138538593,0.9274085923747433,0.8868868496294536,245.0
weighted avg,0.9197523919496579,0.9142857142857143,0.9155790534905466,245.0
