,precision,recall,f1-score,support
0,0.9516129032258065,0.9076923076923077,0.9291338582677167,65.0
1,0.9210526315789473,0.8974358974358975,0.9090909090909091,39.0
2,0.8918918918918919,0.9428571428571428,0.9166666666666667,35.0
3,0.9152542372881356,0.9310344827586207,0.923076923076923,58.0
4,0.9137931034482759,0.828125,0.8688524590163935,64.0
5,0.9245283018867925,0.9245283018867925,0.9245283018867925,53.0
6,0.8636363636363636,1.0,0.9268292682926829,19.0
7,0.8888888888888888,1.0,0.9411764705882353,8.0
8,0.8840579710144928,0.8970588235294118,0.8905109489051095,68.0
9,0.9142857142857143,0.9411764705882353,0.9275362318840579,34.0
10,0.8947368421052632,0.9444444444444444,0.918918918918919,18.0
accuracy,0.911062906724512,0.911062906724512,0.911062906724512,0.911062906724512
macro avg,0.9057944408409612,0.9285775337448048,0.9160291778722189,461.0
weighted avg,0.9119018078821489,0.911062906724512,0.910731634063349,461.0
