,precision,recall,f1-score,support
0,0.96875,0.9538461538461539,0.9612403100775193,65.0
1,0.9722222222222222,0.8974358974358975,0.9333333333333333,39.0
2,0.8717948717948718,0.9714285714285714,0.9189189189189189,35.0
3,0.9818181818181818,0.9310344827586207,0.9557522123893805,58.0
4,0.9655172413793104,0.875,0.9180327868852458,64.0
5,0.8909090909090909,0.9245283018867925,0.9074074074074073,53.0
6,0.95,1.0,0.9743589743589743,19.0
7,0.8888888888888888,1.0,0.9411764705882353,8.0
8,0.9142857142857143,0.9411764705882353,0.9275362318840579,68.0
9,0.8888888888888888,0.9411764705882353,0.9142857142857143,34.0
10,0.9473684210526315,1.0,0.972972972972973,18.0
accuracy,0.9349240780911063,0.9349240780911063,0.9349240780911063,0.9349240780911063
macro avg,0.9309494110218001,0.9486933044120461,0.9386377575547056,461.0
weighted avg,0.9370116496206262,0.9349240780911063,0.935004393565951,461.0
