,precision,recall,f1-score,support
0,0.9130434782608695,0.9692307692307692,0.9402985074626865,65.0
1,0.9722222222222222,0.8974358974358975,0.9333333333333333,39.0
2,0.967741935483871,0.8571428571428571,0.909090909090909,35.0
3,0.9482758620689655,0.9482758620689655,0.9482758620689655,58.0
4,0.9310344827586207,0.84375,0.8852459016393444,64.0
5,0.9423076923076923,0.9245283018867925,0.9333333333333333,53.0
6,0.8260869565217391,1.0,0.9047619047619047,19.0
7,0.8888888888888888,1.0,0.9411764705882353,8.0
8,0.8873239436619719,0.9264705882352942,0.906474820143885,68.0
9,0.9142857142857143,0.9411764705882353,0.9275362318840579,34.0
10,0.8947368421052632,0.9444444444444444,0.918918918918919,18.0
accuracy,0.9219088937093276,0.9219088937093276,0.9219088937093276,0.9219088937093276
macro avg,0.9169043653241654,0.9320413810030233,0.9225860175659613,461.0
weighted avg,0.9240775357528532,0.9219088937093276,0.9216853304217049,461.0
