,precision,recall,f1-score,support
0,0.9,1.0,0.9473684210526316,18.0
1,1.0,0.8918918918918919,0.9428571428571428,37.0
2,1.0,0.5,0.6666666666666666,2.0
3,0.9565217391304348,0.9777777777777777,0.967032967032967,45.0
4,0.9375,0.75,0.8333333333333334,20.0
5,0.9047619047619048,0.9047619047619048,0.9047619047619048,21.0
6,0.75,1.0,0.8571428571428571,6.0
7,1.0,1.0,1.0,3.0
8,0.9285714285714286,0.975,0.951219512195122,40.0
9,0.9047619047619048,1.0,0.9500000000000001,19.0
10,1.0,1.0,1.0,5.0
accuracy,0.9351851851851852,0.9351851851851852,0.9351851851851852,0.9351851851851852
macro avg,0.9347379070205157,0.909039234039234,0.9109438913675113,216.0
weighted avg,0.9390130166398284,0.9351851851851852,0.9337799398694778,216.0
